shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_manual-1770916792369,19.594229087815034,-99.18568021921918,52
shape_manual-1770916792369,19.600506289291605,-99.18609871690728,53
shape_manual-1770916792369,19.606126347394383,-99.18638346549358,54
shape_manual-1770916792369,19.609699055666216,-99.18566998842206,55
shape_manual-1770916792369,19.612139986374952,-99.18502090196063,56
shape_manual-1770916792369,19.612675417270587,-99.18476342207552,57
shape_manual-1770916792369,19.613049292722348,-99.18442540554487,58
shape_manual-1770916792369,19.614584631802796,-99.18271866528366,59
shape_manual-1770916792369,19.618182895548046,-99.17855590666662,60
shape_manual-1770916792369,19.6208109,-99.1756842,61
shape_manual-1770916792369,19.6246711831615,-99.1710663887309,62
shape_manual-1770916792369,19.628678100562603,-99.16647077535369,63
shape_manual-1770916792369,19.63421574497926,-99.16014075279236,64
shape_manual-1770916792369,19.6397129,-99.1538137,65
shape_manual-1770916792369,19.646567703299848,-99.14584826498634,66
shape_manual-1770916792369,19.6571906,-99.1337736,67
shape_manual-1770916792369,19.6650952,-99.1245462,68
shape_manual-1770916792369,19.674554186433916,-99.11370486703667,69
shape_manual-1770916792369,19.682049936874282,-99.10499296012736,70
shape_manual-1770916792369,19.7014001,-99.0829273,71
shape_manual-1770916792369,19.702652565618266,-99.08148226550766,72
shape_manual-1770916792369,19.71490950489735,-99.06740048276824,73
shape_manual-1770916792369,19.72589266211394,-99.05490160529753,74
shape_manual-1770916792369,19.726912708897252,-99.05372681128263,75
shape_manual-1770916792369,19.72736210411441,-99.05311525950707,76
shape_manual-1770916792369,19.72772449262506,-99.05242134945442,77
shape_manual-1770916792369,19.727983209146046,-99.05155956880485,78
shape_manual-1770916792369,19.728088159568408,-99.05068283952195,79
shape_manual-1770916792369,19.72850528705714,-99.04278221904283,80
shape_manual-1770916792369,19.72892241454587,-99.03488159856371,81
shape_manual-1770916792369,19.728983004762913,-99.0344470807033,82
shape_manual-1770916792369,19.729043589478753,-99.03416275436743,83
shape_manual-1770916792369,19.72915469266949,-99.03394818441306,84
shape_manual-1770916792369,19.7358954,-99.0253895,85
shape_manual-1770916792369_rev,19.7358954,-99.0253895,1
shape_manual-1770916792369_rev,19.72915469266949,-99.03394818441306,2
shape_manual-1770916792369_rev,19.729043589478753,-99.03416275436743,3
shape_manual-1770916792369_rev,19.728983004762913,-99.0344470807033,4
shape_manual-1770916792369_rev,19.72892241454587,-99.03488159856371,5
shape_manual-1770916792369_rev,19.72850528705714,-99.04278221904283,6
shape_manual-1770916792369_rev,19.728088159568408,-99.05068283952195,7
shape_manual-1770916792369_rev,19.727983209146046,-99.05155956880485,8
shape_manual-1770916792369_rev,19.72772449262506,-99.05242134945442,9
shape_manual-1770916792369_rev,19.72736210411441,-99.05311525950707,10
shape_manual-1770916792369_rev,19.726912708897252,-99.05372681128263,11
shape_manual-1770916792369_rev,19.72589266211394,-99.05490160529753,12
